It only produced 1 voice during this time:
Progress: step 10/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=10/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=89.1s | eta=35557.8s
Progress: step 20/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=20/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=156.1s | eta=31072.8s
Progress: step 30/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=30/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=223.0s | eta=29515.2s
Progress: step 40/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=40/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=290.0s | eta=28714.3s
Progress: step 50/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=50/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=357.2s | eta=28215.4s
Progress: step 60/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=60/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=424.3s | eta=27862.6s
Progress: step 70/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=70/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=491.4s | eta=27590.3s
Progress: step 80/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=80/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=558.6s | eta=27370.8s
Progress: step 90/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=90/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=625.9s | eta=27193.9s
Progress: step 100/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=100/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=693.5s | eta=27048.1s
Progress: step 110/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=110/300 | beam=7 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=767.0s | eta=27123.8s
